Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Influence of food preparation behaviors on 5-year weight change and obesity risk in a French prospective cohort.","/pubmed/30477513","Méjean C, Lampuré A, Si Hassen W, Gojard S, Péneau S, Hercberg S, Castetbon K.","Int J Behav Nutr Phys Act. 2018 Nov 26;15(1):120. doi: 10.1186/s12966-018-0747-4.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30477513 | PMCID:PMC6258165","pubmed","30477513","create date:2018/11/28 | first author:Méjean C",
"Validity of objective methods for measuring sedentary behaviour in older adults: a systematic review.","/pubmed/30477509","Heesch KC, Hill RL, Aguilar-Farias N, van Uffelen JGZ, Pavey T.","Int J Behav Nutr Phys Act. 2018 Nov 26;15(1):119. doi: 10.1186/s12966-018-0749-2.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30477509 | PMCID:PMC6260565","pubmed","30477509","create date:2018/11/28 | first author:Heesch KC",
"Physical activity and sedentary time among preschoolers in centre-based childcare: a systematic review.","/pubmed/30463585","O'Brien KT, Vanderloo LM, Bruijns BA, Truelove S, Tucker P.","Int J Behav Nutr Phys Act. 2018 Nov 21;15(1):117. doi: 10.1186/s12966-018-0745-6. Review.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30463585 | PMCID:PMC6249856","pubmed","30463585","create date:2018/11/23 | first author:O'Brien KT",
"Health benefits of electrically-assisted cycling: a systematic review.","/pubmed/30463581","Bourne JE, Sauchelli S, Perry R, Page A, Leary S, England C, Cooper AR.","Int J Behav Nutr Phys Act. 2018 Nov 21;15(1):116. doi: 10.1186/s12966-018-0751-8. Review.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30463581 | PMCID:PMC6249962","pubmed","30463581","create date:2018/11/23 | first author:Bourne JE",
"Association between breakfast composition and abdominal obesity in the Swiss adult population eating breakfast regularly.","/pubmed/30458811","Chatelan A, Castetbon K, Pasquier J, Allemann C, Zuber A, Camenzind-Frey E, Zuberbuehler CA, Bochud M.","Int J Behav Nutr Phys Act. 2018 Nov 20;15(1):115. doi: 10.1186/s12966-018-0752-7.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30458811 | PMCID:PMC6247634","pubmed","30458811","create date:2018/11/22 | first author:Chatelan A",
"Associations of context-specific sitting time with markers of cardiometabolic risk in Australian adults.","/pubmed/30458790","Dempsey PC, Hadgraft NT, Winkler EAH, Clark BK, Buman MP, Gardiner PA, Owen N, Lynch BM, Dunstan DW.","Int J Behav Nutr Phys Act. 2018 Nov 20;15(1):114. doi: 10.1186/s12966-018-0748-3.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30458790 | PMCID:PMC6245709","pubmed","30458790","create date:2018/11/22 | first author:Dempsey PC",
"Validation of a measurement instrument for parental child feeding in a low and middle-income country.","/pubmed/30454059","Purwaningrum DN, Sibagariang HYM, Arcot J, Hadi H, Hasnawati RA, Rahmita RS, Jayasuriya R.","Int J Behav Nutr Phys Act. 2018 Nov 20;15(1):113. doi: 10.1186/s12966-018-0736-7.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30454059 | PMCID:PMC6245694","pubmed","30454059","create date:2018/11/21 | first author:Purwaningrum DN",
"Exploring the emergence and evolution of population patterns of leisure-time physical activity through agent-based modelling.","/pubmed/30453997","Garcia LMT, Diez Roux AV, Martins ACR, Yang Y, Florindo AA.","Int J Behav Nutr Phys Act. 2018 Nov 19;15(1):112. doi: 10.1186/s12966-018-0750-9.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30453997 | PMCID:PMC6245872","pubmed","30453997","create date:2018/11/21 | first author:Garcia LMT",
"Targeted retail coupons influence category-level food purchases over 2-years.","/pubmed/30442148","Guan X, Atlas SA, Vadiveloo M.","Int J Behav Nutr Phys Act. 2018 Nov 15;15(1):111. doi: 10.1186/s12966-018-0744-7.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30442148 | PMCID:PMC6238299","pubmed","30442148","create date:2018/11/18 | first author:Guan X",
"Effectiveness of the physical activity intervention program in the PREDIMED-Plus study: a randomized controlled trial.","/pubmed/30424822","Schröder H, Cárdenas-Fuentes G, Martínez-González MA, Corella D, Vioque J, Romaguera D, Alfredo Martínez J, Tinahones FJ, Miranda JL, Estruch R, Bueno-Cavanillas A, Arós F, Marcos A, Tur JA, Warnberg J, Serra-Majem L, Martín V, Vázquez C, Lapetra J, Pintó X, Vidal J, Daimiel L, et al.","Int J Behav Nutr Phys Act. 2018 Nov 13;15(1):110. doi: 10.1186/s12966-018-0741-x.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30424822 | PMCID:PMC6234632","pubmed","30424822","create date:2018/11/15 | first author:Schröder H",
"A functional description of adult picky eating using latent profile analysis.","/pubmed/30400944","Ellis JM, Zickgraf HF, Galloway AT, Essayli JH, Whited MC.","Int J Behav Nutr Phys Act. 2018 Nov 6;15(1):109. doi: 10.1186/s12966-018-0743-8.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30400944 | PMCID:PMC6220498","pubmed","30400944","create date:2018/11/08 | first author:Ellis JM",
"Incidence of childhood overweight and obesity and its association with weight-related attitudes and behaviors in China: a national longitudinal study.","/pubmed/30390717","Cai L, Dai M, Lin L, Yang W, Chen Y, Ma J, Jing J.","Int J Behav Nutr Phys Act. 2018 Nov 3;15(1):108. doi: 10.1186/s12966-018-0737-6.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30390717 | PMCID:PMC6215687","pubmed","30390717","create date:2018/11/06 | first author:Cai L",
"The impact of individual and environmental interventions on income inequalities in sports participation: explorations with an agent-based model.","/pubmed/30382862","Blok DJ, van Lenthe FJ, de Vlas SJ.","Int J Behav Nutr Phys Act. 2018 Nov 1;15(1):107. doi: 10.1186/s12966-018-0740-y.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30382862 | PMCID:PMC6211418","pubmed","30382862","create date:2018/11/02 | first author:Blok DJ",
"Short-term efficacy of a computer-tailored physical activity intervention for prostate and colorectal cancer patients and survivors: a randomized controlled trial.","/pubmed/30376857","Golsteijn RHJ, Bolman C, Volders E, Peels DA, de Vries H, Lechner L.","Int J Behav Nutr Phys Act. 2018 Oct 30;15(1):106. doi: 10.1186/s12966-018-0734-9.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30376857 | PMCID:PMC6208119","pubmed","30376857","create date:2018/11/01 | first author:Golsteijn RHJ",
"Associations between maternal concern about child's weight and related behaviours and maternal weight-related parenting practices: a cross-sectional study.","/pubmed/30355337","Haines J, Downing KL, Tang L, Campbell KJ, Hesketh KD.","Int J Behav Nutr Phys Act. 2018 Oct 24;15(1):104. doi: 10.1186/s12966-018-0738-5.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30355337 | PMCID:PMC6201542","pubmed","30355337","create date:2018/10/26 | first author:Haines J",
"Open science for nutrition and physical activity research: a new challenge and lots of opportunities for IJBNPA.","/pubmed/30355305","Jago R, van der Ploeg H.","Int J Behav Nutr Phys Act. 2018 Oct 24;15(1):105. doi: 10.1186/s12966-018-0739-4.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30355305 | PMCID:PMC6201537","pubmed","30355305","create date:2018/10/26 | first author:Jago R",
"Profiles of children's physical activity and sedentary behaviour between age 6 and 9: a latent profile and transition analysis.","/pubmed/30352597","Jago R, Salway R, Lawlor DA, Emm-Collison L, Heron J, Thompson JL, Sebire SJ.","Int J Behav Nutr Phys Act. 2018 Oct 23;15(1):103. doi: 10.1186/s12966-018-0735-8.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30352597 | PMCID:PMC6199754","pubmed","30352597","create date:2018/10/26 | first author:Jago R",
"Interventions targeting conscious determinants of human behaviour to reduce the demand for meat: a systematic review with qualitative comparative analysis.","/pubmed/30340498","Bianchi F, Dorsel C, Garnett E, Aveyard P, Jebb SA.","Int J Behav Nutr Phys Act. 2018 Oct 19;15(1):102. doi: 10.1186/s12966-018-0729-6. Review.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30340498 | PMCID:PMC6194670","pubmed","30340498","create date:2018/10/21 | first author:Bianchi F",
"Neighborhood food environment and mortality among older Japanese adults: results from the JAGES cohort study.","/pubmed/30340494","Tani Y, Suzuki N, Fujiwara T, Hanazato M, Kondo N, Miyaguni Y, Kondo K.","Int J Behav Nutr Phys Act. 2018 Oct 19;15(1):101. doi: 10.1186/s12966-018-0732-y.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30340494 | PMCID:PMC6194719","pubmed","30340494","create date:2018/10/21 | first author:Tani Y",
"How should long-term free-living physical activity be targeted after stroke? A systematic review and narrative synthesis.","/pubmed/30333027","Moore SA, Hrisos N, Flynn D, Errington L, Price C, Avery L.","Int J Behav Nutr Phys Act. 2018 Oct 17;15(1):100. doi: 10.1186/s12966-018-0730-0. Review.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30333027 | PMCID:PMC6192196","pubmed","30333027","create date:2018/10/20 | first author:Moore SA",
"An activity-friendly environment from the adolescent perspective: a concept mapping study.","/pubmed/30326895","Hidding LM, Chinapaw MJM, Altenburg TM.","Int J Behav Nutr Phys Act. 2018 Oct 16;15(1):99. doi: 10.1186/s12966-018-0733-x.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30326895 | PMCID:PMC6192111","pubmed","30326895","create date:2018/10/18 | first author:Hidding LM",
"What strategies do desk-based workers choose to reduce sitting time and how well do they work? Findings from a cluster randomised controlled trial.","/pubmed/30314505","Stephens SK, Eakin EG, Clark BK, Winkler EAH, Owen N, LaMontagne AD, Moodie M, Lawler SP, Dunstan DW, Healy GN.","Int J Behav Nutr Phys Act. 2018 Oct 12;15(1):98. doi: 10.1186/s12966-018-0731-z.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30314505 | PMCID:PMC6186123","pubmed","30314505","create date:2018/10/14 | first author:Stephens SK",
"Supporting maintenance of sugar-sweetened beverage reduction using automated versus live telephone support: findings from a randomized control trial.","/pubmed/30286755","Zoellner JM, You W, Estabrooks PA, Chen Y, Davy BM, Porter KJ, Hedrick VE, Bailey A, Kružliaková N.","Int J Behav Nutr Phys Act. 2018 Oct 4;15(1):97. doi: 10.1186/s12966-018-0728-7.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30286755 | PMCID:PMC6172826","pubmed","30286755","create date:2018/10/06 | first author:Zoellner JM",
"Eating behavior and body composition across childhood: a prospective cohort study.","/pubmed/30285789","Derks IPM, Sijbrands EJG, Wake M, Qureshi F, van der Ende J, Hillegers MHJ, Jaddoe VWV, Tiemeier H, Jansen PW.","Int J Behav Nutr Phys Act. 2018 Oct 1;15(1):96. doi: 10.1186/s12966-018-0725-x.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30285789 | PMCID:PMC6167809","pubmed","30285789","create date:2018/10/05 | first author:Derks IPM",
"Latina mothers as agents of change in children's eating habits: findings from the randomized controlled trial Entre Familia: Reflejos de Salud.","/pubmed/30285755","Arredondo EM, Ayala GX, Soto S, Slymen DJ, Horton LA, Parada H, Campbell N, Ibarra L, Engelberg M, Elder JP.","Int J Behav Nutr Phys Act. 2018 Oct 1;15(1):95. doi: 10.1186/s12966-018-0714-0.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30285755 | PMCID:PMC6167856","pubmed","30285755","create date:2018/10/05 | first author:Arredondo EM",
"Effect and process evaluation of implementing standing desks in primary and secondary schools in Belgium: a cluster-randomised controlled trial.","/pubmed/30261883","Verloigne M, Ridgers ND, De Bourdeaudhuij I, Cardon G.","Int J Behav Nutr Phys Act. 2018 Sep 27;15(1):94. doi: 10.1186/s12966-018-0726-9.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30261883 | PMCID:PMC6161341","pubmed","30261883","create date:2018/09/29 | first author:Verloigne M",
"Strength exercises during physical education classes in secondary schools improve body composition: a cluster randomized controlled trial.","/pubmed/30253776","Ten Hoor GA, Rutten GM, Van Breukelen GJP, Kok G, Ruiter RAC, Meijer K, Kremers SPJ, Feron FJM, Crutzen R, Schols AMJW, Plasqui G.","Int J Behav Nutr Phys Act. 2018 Sep 25;15(1):92. doi: 10.1186/s12966-018-0727-8.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30253776 | PMCID:PMC6156874","pubmed","30253776","create date:2018/09/27 | first author:Ten Hoor GA",
"Correction to: Examining the interaction of fast-food outlet exposure and income on diet and obesity: evidence from 51,361 UK biobank participants.","/pubmed/30253763","Burgoine T, Sarkar C, Webster CJ, Monsivais P.","Int J Behav Nutr Phys Act. 2018 Sep 25;15(1):93. doi: 10.1186/s12966-018-0713-1.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30253763 | PMCID:PMC6157058","pubmed","30253763","create date:2018/09/27 | first author:Burgoine T",
"An open-source tool to identify active travel from hip-worn accelerometer, GPS and GIS data.","/pubmed/30241483","Procter DS, Page AS, Cooper AR, Nightingale CM, Ram B, Rudnicka AR, Whincup PH, Clary C, Lewis D, Cummins S, Ellaway A, Giles-Corti B, Cook DG, Owen CG.","Int J Behav Nutr Phys Act. 2018 Sep 21;15(1):91. doi: 10.1186/s12966-018-0724-y.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30241483 | PMCID:PMC6150970","pubmed","30241483","create date:2018/09/23 | first author:Procter DS",
"Perceptions of the acceptability and feasibility of reducing occupational sitting: review and thematic synthesis.","/pubmed/30227861","Hadgraft NT, Brakenridge CL, Dunstan DW, Owen N, Healy GN, Lawler SP.","Int J Behav Nutr Phys Act. 2018 Sep 18;15(1):90. doi: 10.1186/s12966-018-0718-9. Review.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30227861 | PMCID:PMC6145345","pubmed","30227861","create date:2018/09/20 | first author:Hadgraft NT",
"Change in health and social factors in mid-adulthood and corresponding changes in leisure-time physical inactivity in a prospective cohort.","/pubmed/30219081","Pinto Pereira SM, Power C.","Int J Behav Nutr Phys Act. 2018 Sep 15;15(1):89. doi: 10.1186/s12966-018-0723-z.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30219081 | PMCID:PMC6139142","pubmed","30219081","create date:2018/09/17 | first author:Pinto Pereira SM",
"Physical activity equivalent labeling vs. calorie labeling: a systematic review and meta-analysis.","/pubmed/30217210","Seyedhamzeh S, Bagheri M, Keshtkar AA, Qorbani M, Viera AJ.","Int J Behav Nutr Phys Act. 2018 Sep 14;15(1):88. doi: 10.1186/s12966-018-0720-2. Review.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30217210 | PMCID:PMC6137736","pubmed","30217210","create date:2018/09/16 | first author:Seyedhamzeh S",
"About feeding children: factor structure and internal reliability of a survey to assess mealtime strategies and beliefs of early childhood education teachers.","/pubmed/30200993","Swindle T, Sigman-Grant M, Branen LJ, Fletcher J, Johnson SL.","Int J Behav Nutr Phys Act. 2018 Sep 10;15(1):85. doi: 10.1186/s12966-018-0717-x.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30200993 | PMCID:PMC6131865","pubmed","30200993","create date:2018/09/12 | first author:Swindle T",
"Changes in diet through adolescence and early adulthood: longitudinal trajectories and association with key life transitions.","/pubmed/30200990","Winpenny EM, van Sluijs EMF, White M, Klepp KI, Wold B, Lien N.","Int J Behav Nutr Phys Act. 2018 Sep 10;15(1):86. doi: 10.1186/s12966-018-0719-8.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30200990 | PMCID:PMC6131755","pubmed","30200990","create date:2018/09/12 | first author:Winpenny EM",
"Domain-specific physical activity and affective wellbeing among adolescents: an observational study of the moderating roles of autonomous and controlled motivation.","/pubmed/30200980","White RL, Parker PD, Lubans DR, MacMillan F, Olson R, Astell-Burt T, Lonsdale C.","Int J Behav Nutr Phys Act. 2018 Sep 10;15(1):87. doi: 10.1186/s12966-018-0722-0.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30200980 | PMCID:PMC6131748","pubmed","30200980","create date:2018/09/12 | first author:White RL",
"Impulsivity and consideration of future consequences as moderators of the association between emotional eating and body weight status.","/pubmed/30189878","Bénard M, Bellisle F, Etilé F, Reach G, Kesse-Guyot E, Hercberg S, Péneau S.","Int J Behav Nutr Phys Act. 2018 Sep 6;15(1):84. doi: 10.1186/s12966-018-0721-1.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30189878 | PMCID:PMC6127957","pubmed","30189878","create date:2018/09/08 | first author:Bénard M",
"Effective advocacy strategies for influencing government nutrition policy: a conceptual model.","/pubmed/30170610","Cullerton K, Donnet T, Lee A, Gallegos D.","Int J Behav Nutr Phys Act. 2018 Aug 31;15(1):83. doi: 10.1186/s12966-018-0716-y.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30170610 | PMCID:PMC6119246","pubmed","30170610","create date:2018/09/02 | first author:Cullerton K",
"The role of the natural and built environment in cycling duration in the Netherlands.","/pubmed/30157889","Gao J, Kamphuis CBM, Dijst M, Helbich M.","Int J Behav Nutr Phys Act. 2018 Aug 29;15(1):82. doi: 10.1186/s12966-018-0715-z.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30157889 | PMCID:PMC6116365","pubmed","30157889","create date:2018/08/31 | first author:Gao J",
"When does sedentary behavior become sleep? A proposed framework for classifying activity during sleep-wake transitions.","/pubmed/30134918","Barone Gibbs B, Kline CE.","Int J Behav Nutr Phys Act. 2018 Aug 22;15(1):81. doi: 10.1186/s12966-018-0712-2.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30134918 | PMCID:PMC6106752","pubmed","30134918","create date:2018/08/24 | first author:Barone Gibbs B",
"Multilevel approaches to increase fruit and vegetable intake in low-income housing communities: final results of the 'Live Well, Viva Bien' cluster-randomized trial.","/pubmed/30126463","Gans KM, Risica PM, Keita AD, Dionne L, Mello J, Stowers KC, Papandonatos G, Whittaker S, Gorham G.","Int J Behav Nutr Phys Act. 2018 Aug 20;15(1):80. doi: 10.1186/s12966-018-0704-2.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30126463 | PMCID:PMC6102886","pubmed","30126463","create date:2018/08/22 | first author:Gans KM",
"The effect of the ""Follow in my Green Food Steps"" programme on cooking behaviours for improved iron intake: a quasi-experimental randomized community study.","/pubmed/30115087","Lion R, Arulogun O, Titiloye M, Shaver D, Jain A, Godwin B, Sidibe M, Adejumo M, Rosseel Y, Schmidt P.","Int J Behav Nutr Phys Act. 2018 Aug 16;15(1):79. doi: 10.1186/s12966-018-0710-4.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30115087 | PMCID:PMC6097342","pubmed","30115087","create date:2018/08/18 | first author:Lion R",
"Impact of reducing portion sizes in worksite cafeterias: a stepped wedge randomised controlled pilot trial.","/pubmed/30115084","Hollands GJ, Cartwright E, Pilling M, Pechey R, Vasiljevic M, Jebb SA, Marteau TM.","Int J Behav Nutr Phys Act. 2018 Aug 16;15(1):78. doi: 10.1186/s12966-018-0705-1.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30115084 | PMCID:PMC6097301","pubmed","30115084","create date:2018/08/18 | first author:Hollands GJ",
"The multivariate physical activity signature associated with metabolic health in children.","/pubmed/30111365","Aadland E, Kvalheim OM, Anderssen SA, Resaland GK, Andersen LB.","Int J Behav Nutr Phys Act. 2018 Aug 15;15(1):77. doi: 10.1186/s12966-018-0707-z.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30111365 | PMCID:PMC6094580","pubmed","30111365","create date:2018/08/17 | first author:Aadland E",
"Impact of tax and subsidy framed messages on high- and lower-sugar beverages sold in vending machines: a randomized crossover trial.","/pubmed/30103793","Seah SSY, Rebello SA, Tai BC, Tay Z, Finkelstein EA, van Dam RM.","Int J Behav Nutr Phys Act. 2018 Aug 13;15(1):76. doi: 10.1186/s12966-018-0711-3.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30103793 | PMCID:PMC6090625","pubmed","30103793","create date:2018/08/15 | first author:Seah SSY",
"Measuring implementation fidelity of school-based obesity prevention programmes: a systematic review.","/pubmed/30103764","Schaap R, Bessems K, Otten R, Kremers S, van Nassau F.","Int J Behav Nutr Phys Act. 2018 Aug 13;15(1):75. doi: 10.1186/s12966-018-0709-x.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30103764 | PMCID:PMC6088402","pubmed","30103764","create date:2018/08/15 | first author:Schaap R",
"Picky eating in Swedish preschoolers of different weight status: application of two new screening cut-offs.","/pubmed/30092802","Sandvik P, Ek A, Somaraki M, Hammar U, Eli K, Nowicka P.","Int J Behav Nutr Phys Act. 2018 Aug 9;15(1):74. doi: 10.1186/s12966-018-0706-0.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30092802 | PMCID:PMC6085619","pubmed","30092802","create date:2018/08/11 | first author:Sandvik P",
"Sedentary behavior and depressive symptoms among 67,077 adolescents aged 12-15 years from 30 low- and middle-income countries.","/pubmed/30089487","Vancampfort D, Stubbs B, Firth J, Van Damme T, Koyanagi A.","Int J Behav Nutr Phys Act. 2018 Aug 8;15(1):73. doi: 10.1186/s12966-018-0708-y.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30089487 | PMCID:PMC6083627","pubmed","30089487","create date:2018/08/10 | first author:Vancampfort D",
"Exercise training modalities in patients with type 2 diabetes mellitus: a systematic review and network meta-analysis.","/pubmed/30045740","Pan B, Ge L, Xun YQ, Chen YJ, Gao CY, Han X, Zuo LQ, Shan HQ, Yang KH, Ding GW, Tian JH.","Int J Behav Nutr Phys Act. 2018 Jul 25;15(1):72. doi: 10.1186/s12966-018-0703-3.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30045740 | PMCID:PMC6060544","pubmed","30045740","create date:2018/07/27 | first author:Pan B",
"Social media use for nutrition outcomes in young adults: a mixed-methods systematic review.","/pubmed/30041699","Klassen KM, Douglass CH, Brennan L, Truby H, Lim MSC.","Int J Behav Nutr Phys Act. 2018 Jul 24;15(1):70. doi: 10.1186/s12966-018-0696-y.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30041699 | PMCID:PMC6057054","pubmed","30041699","create date:2018/07/26 | first author:Klassen KM",
