Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Primary Hyperparathyroidism.,""/pubmed/30592590"",""Choy KW."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592590"",""pubmed"",""30592590"",""create date:2018/12/29 | first author:Choy KW"",";;
"Emergency Departments - A 24/7/365 Option for Combating the Opioid Crisis.,""/pubmed/30586522"",""D'Onofrio G, McCormack RP, Hawk K."",""N Engl J Med. 2018 Dec 27";"379(26):2487-2490. doi: 10.1056/NEJMp1811988. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586522"",""pubmed"",""30586522"",""create date:2018/12/27 | first author:D'Onofrio G"",";;
"Progress in BRCA-Mutated Ovarian Cancer.,""/pubmed/30586521"",""Spriggs DR, Longo DL."",""N Engl J Med. 2018 Dec 27";"379(26):2567-2568. doi: 10.1056/NEJMe1812644. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586521"",""pubmed"",""30586521"",""create date:2018/12/27 | first author:Spriggs DR"",";;
"Necrosis of the Fingers and Toes.,""/pubmed/30586520"",""Taniguchi Y, Inotani S."",""N Engl J Med. 2018 Dec 27";"379(26):2557. doi: 10.1056/NEJMicm1802619. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586520"",""pubmed"",""30586520"",""create date:2018/12/27 | first author:Taniguchi Y"",";;
"Case 40-2018: A 47-Year-Old Woman with Recurrent Sinusitis, Cough, and Bronchiectasis.,""/pubmed/30586519"",""Mojica JE, Richards CJ, Husseini JS, Hariri LP."",""N Engl J Med. 2018 Dec 27";"379(26):2558-2565. doi: 10.1056/NEJMcpc1810388. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586519"",""pubmed"",""30586519"",""create date:2018/12/27 | first author:Mojica JE"",";;
"Tofacitinib Treatment and Molecular Analysis of Cutaneous Sarcoidosis.,""/pubmed/30586518"",""Damsky W, Thakral D, Emeagwali N, Galan A, King B."",""N Engl J Med. 2018 Dec 27";"379(26):2540-2546. doi: 10.1056/NEJMoa1805958."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586518 | PMCID:PMC6351852"",""pubmed"",""30586518"",""create date:2018/12/27 | first author:Damsky W"",";;
"Harder to Treat Than Leukemia - Opioid Use Disorder in Survivors of Cancer.,""/pubmed/30586517"",""Loren AW."",""N Engl J Med. 2018 Dec 27";"379(26):2485-2487. doi: 10.1056/NEJMp1812850. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586517"",""pubmed"",""30586517"",""create date:2018/12/27 | first author:Loren AW"",";;
"Smoking and Other Risk Factors in Type 2 Diabetes.,""/pubmed/30586516"",""Rawshani A, Rawshani A, Gudbjörnsdottir S."",""N Engl J Med. 2018 Dec 27";"379(26):2575. doi: 10.1056/NEJMc1812842. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586516"",""pubmed"",""30586516"",""create date:2018/12/27 | first author:Rawshani A"",";;
"Smoking and Other Risk Factors in Type 2 Diabetes.,""/pubmed/30586515"",""Hu Y, Hu FB, Sun Q."",""N Engl J Med. 2018 Dec 27";"379(26):2574-2575. doi: 10.1056/NEJMc1812842. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586515"",""pubmed"",""30586515"",""create date:2018/12/27 | first author:Hu Y"",";;
"Smoking and Other Risk Factors in Type 2 Diabetes.,""/pubmed/30586514"",""Kannt A."",""N Engl J Med. 2018 Dec 27";"379(26):2574. doi: 10.1056/NEJMc1812842. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586514"",""pubmed"",""30586514"",""create date:2018/12/27 | first author:Kannt A"",";;
"Smoking and Other Risk Factors in Type 2 Diabetes.,""/pubmed/30586513"",""Mansi IA."",""N Engl J Med. 2018 Dec 27";"379(26):2573-2574. doi: 10.1056/NEJMc1812842. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586513"",""pubmed"",""30586513"",""create date:2018/12/27 | first author:Mansi IA"",";;
"Smoking and Other Risk Factors in Type 2 Diabetes.,""/pubmed/30586512"",""Fan T, Yang S, Geng Q."",""N Engl J Med. 2018 Dec 27";"379(26):2573. doi: 10.1056/NEJMc1812842. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586512"",""pubmed"",""30586512"",""create date:2018/12/27 | first author:Fan T"",";;
"Smoking and Other Risk Factors in Type 2 Diabetes.,""/pubmed/30586511"",""Anker MS, Kalantar-Zadeh K, Doehner W."",""N Engl J Med. 2018 Dec 27";"379(26):2572-2573. doi: 10.1056/NEJMc1812842. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586511"",""pubmed"",""30586511"",""create date:2018/12/27 | first author:Anker MS"",";;
"Investigation of a Cluster of Sphingomonas koreensis Infections.,""/pubmed/30586509"",""Johnson RC, Deming C, Conlan S, Zellmer CJ, Michelin AV, Lee-Lin S, Thomas PJ, Park M, Weingarten RA, Less J, Dekker JP, Frank KM, Musser KA, McQuiston JR, Henderson DK, Lau AF, Palmore TN, Segre JA."",""N Engl J Med. 2018 Dec 27";"379(26):2529-2539. doi: 10.1056/NEJMoa1803238."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586509 | PMCID:PMC6322212"",""pubmed"",""30586509"",""create date:2018/12/27 | first author:Johnson RC"",";;
"Ribociclib as First-Line Therapy for HR-Positive, Advanced Breast Cancer.,""/pubmed/30586508"",""[No authors listed]"",""N Engl J Med. 2018 Dec 27";"379(26):2582. doi: 10.1056/NEJMx180043. Epub 2018 Dec 6. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586508"",""pubmed"",""30586508"",""create date:2018/12/27"",";;
"Glucocorticoid-Induced Osteoporosis.,""/pubmed/30586507"",""Buckley L, Humphrey MB."",""N Engl J Med. 2018 Dec 27";"379(26):2547-2556. doi: 10.1056/NEJMcp1800214. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586507"",""pubmed"",""30586507"",""create date:2018/12/27 | first author:Buckley L"",";;
"Jaw Clonus and Limb Fasciculations.,""/pubmed/30586506"",""Wadhwa A, Chatterjee A."",""N Engl J Med. 2018 Dec 27";"379(26):e44. doi: 10.1056/NEJMicm1809249. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586506"",""pubmed"",""30586506"",""create date:2018/12/27 | first author:Wadhwa A"",";;
"Worldwide Frequencies of APOL1 Renal Risk Variants.,""/pubmed/30586505"",""Nadkarni GN, Gignoux CR, Sorokin EP, Daya M, Rahman R, Barnes KC, Wassel CL, Kenny EE."",""N Engl J Med. 2018 Dec 27";"379(26):2571-2572. doi: 10.1056/NEJMc1800748. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30586505"",""pubmed"",""30586505"",""create date:2018/12/27 | first author:Nadkarni GN"",";;
"Diagnostic Utility of Exome Sequencing for Kidney Disease.,""/pubmed/30586318"",""Groopman EE, Marasa M, Cameron-Christie S, Petrovski S, Aggarwal VS, Milo-Rasouly H, Li Y, Zhang J, Nestor J, Krithivasan P, Lam WY, Mitrotti A, Piva S, Kil BH, Chatterjee D, Reingold R, Bradbury D, DiVecchia M, Snyder H, Mu X, Mehl K, Balderes O, et al."",""N Engl J Med. 2019 Jan 10";"380(2):142-151. doi: 10.1056/NEJMoa1806891. Epub 2018 Dec 26."",""N Engl J Med.  2019"",""PubMed"",""citation"",""PMID:30586318"",""pubmed"",""30586318"",""create date:2018/12/27 | first author:Groopman EE"",";;
"Case 39-2018: An 18-Year-Old Man with Diplopia and Proptosis of the Left Eye.,""/pubmed/30575493"",""Lefebvre DR, Reinshagen KL, Yoon MK, Stone JH, Stagner AM."",""N Engl J Med. 2018 Dec 20";"379(25):2452-2461. doi: 10.1056/NEJMcpc1807503. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575493"",""pubmed"",""30575493"",""create date:2018/12/24 | first author:Lefebvre DR"",";;
"A Glimmer of Hope for Pancreatic Cancer.,""/pubmed/30575492"",""Kindler HL."",""N Engl J Med. 2018 Dec 20";"379(25):2463-2464. doi: 10.1056/NEJMe1813684. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575492"",""pubmed"",""30575492"",""create date:2018/12/24 | first author:Kindler HL"",";;
"Global, Regional, and Country-Specific Lifetime Risks of Stroke, 1990 and 2016.,""/pubmed/30575491"",""GBD 2016 Lifetime Risk of Stroke Collaborators., Feigin VL, Nguyen G, Cercy K, Johnson CO, Alam T, Parmar PG, Abajobir AA, Abate KH, Abd-Allah F, Abejie AN, Abyu GY, Ademi Z, Agarwal G, Ahmed MB, Akinyemi RO, Al-Raddadi R, Aminde LN, Amlie-Lefond C, Ansari H, Asayesh H, Asgedom SW, et al."",""N Engl J Med. 2018 Dec 20";"379(25):2429-2437. doi: 10.1056/NEJMoa1804492."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575491 | PMCID:PMC6247346"",""pubmed"",""30575491"",""create date:2018/12/24 | first author:GBD 2016 Lifetime Risk of Stroke Collaborators."",";;
"FOLFIRINOX or Gemcitabine as Adjuvant Therapy for Pancreatic Cancer.,""/pubmed/30575490"",""Conroy T, Hammel P, Hebbar M, Ben Abdelghani M, Wei AC, Raoul JL, Choné L, Francois E, Artru P, Biagi JJ, Lecomte T, Assenat E, Faroux R, Ychou M, Volet J, Sauvanet A, Breysacher G, Di Fiore F, Cripps C, Kavan P, Texereau P, Bouhier-Leporrier K, et al."",""N Engl J Med. 2018 Dec 20";"379(25):2395-2406. doi: 10.1056/NEJMoa1809775."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575490"",""pubmed"",""30575490"",""create date:2018/12/24 | first author:Conroy T"",";;
"Fracture Prevention with Zoledronate in Older Women with Osteopenia.,""/pubmed/30575489"",""Reid IR, Horne AM, Mihov B, Stewart A, Garratt E, Wong S, Wiessing KR, Bolland MJ, Bastin S, Gamble GD."",""N Engl J Med. 2018 Dec 20";"379(25):2407-2416. doi: 10.1056/NEJMoa1808082. Epub 2018 Oct 1."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575489"",""pubmed"",""30575489"",""create date:2018/12/24 | first author:Reid IR"",";;
"Lead Toxicity from a Retained Bullet.,""/pubmed/30575488"",""Marquez JI, Schindlbeck MA."",""N Engl J Med. 2018 Dec 20";"379(25):2451. doi: 10.1056/NEJMicm1804726. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575488"",""pubmed"",""30575488"",""create date:2018/12/24 | first author:Marquez JI"",";;
"Coronary-Artery Occlusion from Kawasaki's Disease.,""/pubmed/30575487"",""Matsuura H, Ohya M."",""N Engl J Med. 2018 Dec 20";"379(25):e42. doi: 10.1056/NEJMicm1804902. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575487"",""pubmed"",""30575487"",""create date:2018/12/24 | first author:Matsuura H"",";;
"Primary Hyperparathyroidism.,""/pubmed/30575486"",""Insogna KL."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575486"",""pubmed"",""30575486"",""create date:2018/12/24 | first author:Insogna KL"",";;
"Case 37-2018: A 23-Year-Old Woman with Vision Loss.,""/pubmed/30575485"",""[No authors listed]"",""N Engl J Med. 2018 Dec 20";"379(25):2482. doi: 10.1056/NEJMx180042. Epub 2018 Nov 28. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575485"",""pubmed"",""30575485"",""create date:2018/12/24"",";;
"Sorafenib for Advanced and Refractory Desmoid Tumors.,""/pubmed/30575484"",""Gounder MM, Mahoney MR, Van Tine BA, Ravi V, Attia S, Deshpande HA, Gupta AA, Milhem MM, Conry RM, Movva S, Pishvaian MJ, Riedel RF, Sabagh T, Tap WD, Horvat N, Basch E, Schwartz LH, Maki RG, Agaram NP, Lefkowitz RA, Mazaheri Y, Yamashita R, et al."",""N Engl J Med. 2018 Dec 20";"379(25):2417-2428. doi: 10.1056/NEJMoa1805052."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575484"",""pubmed"",""30575484"",""create date:2018/12/24 | first author:Gounder MM"",";;
"The Major Causes of Death in Children and Adolescents in the United States.,""/pubmed/30575483"",""Cunningham RM, Walton MA, Carter PM."",""N Engl J Med. 2018 Dec 20";"379(25):2468-2475. doi: 10.1056/NEJMsr1804754. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575483"",""pubmed"",""30575483"",""create date:2018/12/24 | first author:Cunningham RM"",";;
"Training in Sexual and Gender Minority Health - Expanding Education to Reach All Clinicians.,""/pubmed/30575482"",""Ard KL, Keuroghlian AS."",""N Engl J Med. 2018 Dec 20";"379(25):2388-2391. doi: 10.1056/NEJMp1810522. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575482"",""pubmed"",""30575482"",""create date:2018/12/24 | first author:Ard KL"",";;
"Factor H Autoantibodies and Membranous Nephropathy.,""/pubmed/30575481"",""Seikrit C, Ronco P, Debiec H."",""N Engl J Med. 2018 Dec 20";"379(25):2479-2481. doi: 10.1056/NEJMc1805857. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575481"",""pubmed"",""30575481"",""create date:2018/12/24 | first author:Seikrit C"",";;
"Cancer Survivorship.,""/pubmed/30575480"",""Shapiro CL."",""N Engl J Med. 2018 Dec 20";"379(25):2438-2450. doi: 10.1056/NEJMra1712502. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575480"",""pubmed"",""30575480"",""create date:2018/12/24 | first author:Shapiro CL"",";;
"Tackling Tsc1 to Promote Nephrogenesis.,""/pubmed/30575479"",""Ingelfinger JR."",""N Engl J Med. 2018 Dec 20";"379(25):2476-2478. doi: 10.1056/NEJMcibr1811985. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575479"",""pubmed"",""30575479"",""create date:2018/12/24 | first author:Ingelfinger JR"",";;
"The Problem for Children in America.,""/pubmed/30575478"",""Campion EW."",""N Engl J Med. 2018 Dec 20";"379(25):2466-2467. doi: 10.1056/NEJMe1814600. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575478"",""pubmed"",""30575478"",""create date:2018/12/24 | first author:Campion EW"",";;
"Structural Differential - A 32-Year-Old Man with Persistent Wrist Pain.,""/pubmed/30575477"",""Seymour CK, Griffin C, Holmes SM, Martinez C."",""N Engl J Med. 2018 Dec 20";"379(25):2385-2388. doi: 10.1056/NEJMp1811574. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575477"",""pubmed"",""30575477"",""create date:2018/12/24 | first author:Seymour CK"",";;
"Persons of Nonbinary Gender - Awareness, Visibility, and Health Disparities.,""/pubmed/30575476"",""Liszewski W, Peebles JK, Yeung H, Arron S."",""N Engl J Med. 2018 Dec 20";"379(25):2391-2393. doi: 10.1056/NEJMp1812005. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575476"",""pubmed"",""30575476"",""create date:2018/12/24 | first author:Liszewski W"",";;
"Correction to our Letter to the Editor about ""CDX2 as a Prognostic Biomarker in Stage II and Stage III Colon Cancer"".,""/pubmed/30575475"",""Coebergh van den Braak RRJ, Martens JWM, Ijzermans JNM."",""N Engl J Med. 2018 Dec 20";"379(25):2481. doi: 10.1056/NEJMc1814750. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575475"",""pubmed"",""30575475"",""create date:2018/12/24 | first author:Coebergh van den Braak RRJ"",";;
"Case 38-2018: A 54-Year-Old Man with New Heart Failure.,""/pubmed/30575474"",""Isselbacher EM, Meyersohn NM, Sarma AA, Spooner AE, Tomaszewski KJ."",""N Engl J Med. 2018 Dec 13";"379(24):2362-2372. doi: 10.1056/NEJMcpc1810386. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575474"",""pubmed"",""30575474"",""create date:2018/12/24 | first author:Isselbacher EM"",";;
"Radical Prostatectomy or Watchful Waiting in Prostate Cancer - 29-Year Follow-up.,""/pubmed/30575473"",""Bill-Axelson A, Holmberg L, Garmo H, Taari K, Busch C, Nordling S, Häggman M, Andersson SO, Andrén O, Steineck G, Adami HO, Johansson JE."",""N Engl J Med. 2018 Dec 13";"379(24):2319-2329. doi: 10.1056/NEJMoa1807801."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575473"",""pubmed"",""30575473"",""create date:2018/12/24 | first author:Bill-Axelson A"",";;
"Remembering William.,""/pubmed/30575472"",""Hultgren B."",""N Engl J Med. 2018 Dec 13";"379(24):2293-2295. doi: 10.1056/NEJMp1810177. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575472"",""pubmed"",""30575472"",""create date:2018/12/24 | first author:Hultgren B"",";;
"Parvovirus B19 Infection.,""/pubmed/30575471"",""Mende M, Sockel K."",""N Engl J Med. 2018 Dec 13";"379(24):2361. doi: 10.1056/NEJMicm1807156. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575471"",""pubmed"",""30575471"",""create date:2018/12/24 | first author:Mende M"",";;
"Case 28-2018: A Man with Epistaxis, Pain and Erythema of the Forearm, and Pancytopenia.,""/pubmed/30575470"",""Yavorkovsky LL."",""N Engl J Med. 2018 Dec 13";"379(24):2382. doi: 10.1056/NEJMc1813964. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575470"",""pubmed"",""30575470"",""create date:2018/12/24 | first author:Yavorkovsky LL"",";;
"Percutaneous Repair of Secondary Mitral Regurgitation - A Tale of Two Trials.,""/pubmed/30575469"",""Nishimura RA, Bonow RO."",""N Engl J Med. 2018 Dec 13";"379(24):2374-2376. doi: 10.1056/NEJMe1812279. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575469"",""pubmed"",""30575469"",""create date:2018/12/24 | first author:Nishimura RA"",";;
"MACRA's Patient Relationship Codes - Measuring Accountability for Costs.,""/pubmed/30575468"",""Takvorian SU, Bekelman JE, Press MJ."",""N Engl J Med. 2018 Dec 13";"379(24):2288-2290. doi: 10.1056/NEJMp1808427. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575468"",""pubmed"",""30575468"",""create date:2018/12/24 | first author:Takvorian SU"",";;
"Mutation Clearance after Transplantation for Myelodysplastic Syndrome.,""/pubmed/30575467"",""Jacoby MA, Trinkaus K, Walter MJ."",""N Engl J Med. 2018 Dec 13";"379(24):2380. doi: 10.1056/NEJMc1813470. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575467"",""pubmed"",""30575467"",""create date:2018/12/24 | first author:Jacoby MA"",";;
"Erythroderma and a Pulmonary Nodule.,""/pubmed/30575466"",""Ampollini L, Rusca M."",""N Engl J Med. 2018 Dec 13";"379(24):e41. doi: 10.1056/NEJMicm1802572. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575466"",""pubmed"",""30575466"",""create date:2018/12/24 | first author:Ampollini L"",";;
"Influenza Cataclysm, 1918.,""/pubmed/30575465"",""Morens DM, Taubenberger JK."",""N Engl J Med. 2018 Dec 13";"379(24):2285-2287. doi: 10.1056/NEJMp1814447. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30575465"",""pubmed"",""30575465"",""create date:2018/12/24 | first author:Morens DM"",";;
