Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Ancestors.,""/pubmed/30657840"",""Halberstadt CS."",""JAMA. 2018 Dec 11";"320(22):2382. doi: 10.1001/jama.2018.11167. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657840"",""pubmed"",""30657840"",""create date:2019/01/19 | first author:Halberstadt CS"",";;
"Shifting Hepatitis A Epidemiology.,""/pubmed/30575889"",""Kuehn B."",""JAMA. 2018 Dec 25";"320(24):2522. doi: 10.1001/jama.2018.19604. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575889"",""pubmed"",""30575889"",""create date:2018/12/24 | first author:Kuehn B"",";;
"Increase in Firearm Homicides.,""/pubmed/30575888"",""Kuehn B."",""JAMA. 2018 Dec 25";"320(24):2522. doi: 10.1001/jama.2018.19331. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575888"",""pubmed"",""30575888"",""create date:2018/12/24 | first author:Kuehn B"",";;
"In-Flight Medical Emergencies: A Review.,""/pubmed/30575886"",""Martin-Gill C, Doyle TJ, Yealy DM."",""JAMA. 2018 Dec 25";"320(24):2580-2590. doi: 10.1001/jama.2018.19842. Review."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575886"",""pubmed"",""30575886"",""create date:2018/12/24 | first author:Martin-Gill C"",";;
"The Language of Suicide.,""/pubmed/30575885"",""Danziger P."",""JAMA. 2018 Dec 25";"320(24):2537-2538. doi: 10.1001/jama.2018.19199. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575885"",""pubmed"",""30575885"",""create date:2018/12/24 | first author:Danziger P"",";;
"Endometriosis.,""/pubmed/30575883"",""Peiris AN, Chaljub E, Medlock D."",""JAMA. 2018 Dec 25";"320(24):2608. doi: 10.1001/jama.2018.17953. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575883"",""pubmed"",""30575883"",""create date:2018/12/24 | first author:Peiris AN"",";;
"Association of Genetic Variants Related to Gluteofemoral vs Abdominal Fat Distribution With Type 2 Diabetes, Coronary Disease, and Cardiovascular Risk Factors.,""/pubmed/30575882"",""Lotta LA, Wittemans LBL, Zuber V, Stewart ID, Sharp SJ, Luan J, Day FR, Li C, Bowker N, Cai L, De Lucia Rolfe E, Khaw KT, Perry JRB, O'Rahilly S, Scott RA, Savage DB, Burgess S, Wareham NJ, Langenberg C."",""JAMA. 2018 Dec 25";"320(24):2553-2563. doi: 10.1001/jama.2018.19329."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575882"",""pubmed"",""30575882"",""create date:2018/12/24 | first author:Lotta LA"",";;
"Association of Pharmacological Treatments With Long-term Pain Control in Patients With Knee Osteoarthritis: A Systematic Review and Meta-analysis.,""/pubmed/30575881"",""Gregori D, Giacovelli G, Minto C, Barbetta B, Gualtieri F, Azzolina D, Vaghi P, Rovati LC."",""JAMA. 2018 Dec 25";"320(24):2564-2579. doi: 10.1001/jama.2018.19319."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575881"",""pubmed"",""30575881"",""create date:2018/12/24 | first author:Gregori D"",";;
"Association of the Hospital Readmissions Reduction Program With Mortality Among Medicare Beneficiaries Hospitalized for Heart Failure, Acute Myocardial Infarction, and Pneumonia.,""/pubmed/30575880"",""Wadhera RK, Joynt Maddox KE, Wasfy JH, Haneuse S, Shen C, Yeh RW."",""JAMA. 2018 Dec 25";"320(24):2542-2552. doi: 10.1001/jama.2018.19232."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575880"",""pubmed"",""30575880"",""create date:2018/12/24 | first author:Wadhera RK"",";;
"Dual Receptor Agonist for Type 2 Diabetes.,""/pubmed/30575879"",""Slomski A."",""JAMA. 2018 Dec 25";"320(24):2521. doi: 10.1001/jama.2018.20160. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575879"",""pubmed"",""30575879"",""create date:2018/12/24 | first author:Slomski A"",";;
"Chemoimmunotherapy for Triple-Negative Breast Cancer.,""/pubmed/30575878"",""Slomski A."",""JAMA. 2018 Dec 25";"320(24):2521. doi: 10.1001/jama.2018.20159. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575878"",""pubmed"",""30575878"",""create date:2018/12/24 | first author:Slomski A"",";;
"Hand Sanitizer Combated Sickness in Day Care Centers.,""/pubmed/30575877"",""Slomski A."",""JAMA. 2018 Dec 25";"320(24):2521. doi: 10.1001/jama.2018.20158. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575877"",""pubmed"",""30575877"",""create date:2018/12/24 | first author:Slomski A"",";;
"Less Sitting Improved Work and Mood.,""/pubmed/30575876"",""Slomski A."",""JAMA. 2018 Dec 25";"320(24):2521. doi: 10.1001/jama.2018.20157. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575876"",""pubmed"",""30575876"",""create date:2018/12/24 | first author:Slomski A"",";;
"Balance Exercises Prevented Falls.,""/pubmed/30575875"",""Slomski A."",""JAMA. 2018 Dec 25";"320(24):2521. doi: 10.1001/jama.2018.19334. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575875"",""pubmed"",""30575875"",""create date:2018/12/24 | first author:Slomski A"",";;
"Providing Individual Research Results to Participants-Reply.,""/pubmed/30575874"",""Wong CA, Hernandez AF, Califf RM."",""JAMA. 2018 Dec 25";"320(24):2601. doi: 10.1001/jama.2018.18111. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575874"",""pubmed"",""30575874"",""create date:2018/12/24 | first author:Wong CA"",";;
"Digital Media Use and ADHD Symptoms-Reply.,""/pubmed/30575873"",""Leventhal AM, Lee SS."",""JAMA. 2018 Dec 25";"320(24):2599-2600. doi: 10.1001/jama.2018.18103. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575873"",""pubmed"",""30575873"",""create date:2018/12/24 | first author:Leventhal AM"",";;
"Electrocardiography Screening for Atrial Fibrillation-Reply.,""/pubmed/30575872"",""Curry SJ, Krist AH, Owens DK."",""JAMA. 2018 Dec 25";"320(24):2598-2599. doi: 10.1001/jama.2018.17768. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575872"",""pubmed"",""30575872"",""create date:2018/12/24 | first author:Curry SJ"",";;
"Providing Individual Research Results to Participants.,""/pubmed/30575871"",""Kaufman DJ, Lockhart NC, Brody LC."",""JAMA. 2018 Dec 25";"320(24):2600-2601. doi: 10.1001/jama.2018.18099. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575871"",""pubmed"",""30575871"",""create date:2018/12/24 | first author:Kaufman DJ"",";;
"Digital Media Use and ADHD Symptoms.,""/pubmed/30575870"",""Sibley MH, Coxe SJ."",""JAMA. 2018 Dec 25";"320(24):2599. doi: 10.1001/jama.2018.18095. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575870"",""pubmed"",""30575870"",""create date:2018/12/24 | first author:Sibley MH"",";;
"Electrocardiography Screening for Atrial Fibrillation.,""/pubmed/30575869"",""Engdahl J, Svennberg E, Rosenqvist M."",""JAMA. 2018 Dec 25";"320(24):2598. doi: 10.1001/jama.2018.17764. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575869"",""pubmed"",""30575869"",""create date:2018/12/24 | first author:Engdahl J"",";;
"Adoption of Medicare's Transitional Care Management and Chronic Care Management Codes in Primary Care.,""/pubmed/30575868"",""Agarwal SD, Barnett ML, Souza J, Landon BE."",""JAMA. 2018 Dec 25";"320(24):2596-2597. doi: 10.1001/jama.2018.16116. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575868 | PMCID:PMC6354932"",""pubmed"",""30575868"",""create date:2018/12/24 | first author:Agarwal SD"",";;
"Some Hazards at Christmastime.,""/pubmed/30575867"",""[No authors listed]"",""JAMA. 2018 Dec 25";"320(24):2604. doi: 10.1001/jama.2017.12723. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575867"",""pubmed"",""30575867"",""create date:2018/12/24"",";;
"Common Ground on Health.,""/pubmed/30575866"",""Sharfstein JM."",""JAMA. 2018 Dec 25";"320(24):2518-2519. doi: 10.1001/jama.2018.19581. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575866"",""pubmed"",""30575866"",""create date:2018/12/24 | first author:Sharfstein JM"",";;
"Studying the Impact of Disabilities on Pregnancy.,""/pubmed/30575864"",""Rubin R."",""JAMA. 2018 Dec 25";"320(24):2520. doi: 10.1001/jama.2018.20156. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575864"",""pubmed"",""30575864"",""create date:2018/12/24 | first author:Rubin R"",";;
"GAO Assessment of the Opioid Public Health Emergency.,""/pubmed/30575863"",""Rubin R."",""JAMA. 2018 Dec 25";"320(24):2520. doi: 10.1001/jama.2018.20155. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575863"",""pubmed"",""30575863"",""create date:2018/12/24 | first author:Rubin R"",";;
"Final Rules for Religious or Moral Objections to Contraceptive Coverage.,""/pubmed/30575862"",""Rubin R."",""JAMA. 2018 Dec 25";"320(24):2520. doi: 10.1001/jama.2018.19473. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575862"",""pubmed"",""30575862"",""create date:2018/12/24 | first author:Rubin R"",";;
"Unintended Harm Associated With the Hospital Readmissions Reduction Program.,""/pubmed/30575861"",""Fonarow GC."",""JAMA. 2018 Dec 25";"320(24):2539-2541. doi: 10.1001/jama.2018.19325. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575861"",""pubmed"",""30575861"",""create date:2018/12/24 | first author:Fonarow GC"",";;
"Graphic Medicine: The Best of 2018.,""/pubmed/30575860"",""Green MJ, Mahato M."",""JAMA. 2018 Dec 25";"320(24):2510-2511. doi: 10.1001/jama.2018.18009. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30575860"",""pubmed"",""30575860"",""create date:2018/12/24 | first author:Green MJ"",";;
"Social Determinants of Health in the Digital Age: Determining the Source Code for Nurture.,""/pubmed/30570663"",""Abnousi F, Rumsfeld JS, Krumholz HM."",""JAMA. 2018 Dec 20. doi: 10.1001/jama.2018.19763. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30570663"",""pubmed"",""30570663"",""create date:2018/12/21 | first author:Abnousi F"",";;;
"Immunoglobulin G4 Levels.,""/pubmed/30570654"",""Nagpal SJS, Chari ST."",""JAMA. 2018 Dec 20. doi: 10.1001/jama.2018.16665. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30570654"",""pubmed"",""30570654"",""create date:2018/12/21 | first author:Nagpal SJS"",";;;
"Immunotherapy 2.0: Improving the Response to Checkpoint Inhibitors.,""/pubmed/30566194"",""Friedrich MJ."",""JAMA. 2018 Dec 19. doi: 10.1001/jama.2018.18306. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30566194"",""pubmed"",""30566194"",""create date:2018/12/20 | first author:Friedrich MJ"",";;;
"Random-Effects Meta-analysis: Summarizing Evidence With Caveats.,""/pubmed/30566189"",""Serghiou S, Goodman SN."",""JAMA. 2018 Dec 19. doi: 10.1001/jama.2018.19684. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30566189"",""pubmed"",""30566189"",""create date:2018/12/20 | first author:Serghiou S"",";;;
"Incorrect Author Affiliation.,""/pubmed/30561491"",""[No authors listed]"",""JAMA. 2018 Dec 18";"320(23):2486. doi: 10.1001/jama.2018.19029. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561491"",""pubmed"",""30561491"",""create date:2018/12/19"",";;
"Global Impact of Air Pollution on Children's Health.,""/pubmed/30561490"",""Friedrich MJ."",""JAMA. 2018 Dec 18";"320(23):2412. doi: 10.1001/jama.2018.19559. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561490"",""pubmed"",""30561490"",""create date:2018/12/19 | first author:Friedrich MJ"",";;
"Declaration of Astana Emphasizes Primary Care as Key to World Health.,""/pubmed/30561489"",""Friedrich MJ."",""JAMA. 2018 Dec 18";"320(23):2412. doi: 10.1001/jama.2018.19558. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561489"",""pubmed"",""30561489"",""create date:2018/12/19 | first author:Friedrich MJ"",";;
"Nigerian Lassa Fever Outbreak Caused by Rodents.,""/pubmed/30561488"",""Friedrich MJ."",""JAMA. 2018 Dec 18";"320(23):2412. doi: 10.1001/jama.2018.19084. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561488"",""pubmed"",""30561488"",""create date:2018/12/19 | first author:Friedrich MJ"",";;
"Interventions to Improve Medication Adherence: A Review.,""/pubmed/30561486"",""Kini V, Ho PM."",""JAMA. 2018 Dec 18";"320(23):2461-2473. doi: 10.1001/jama.2018.19271."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561486"",""pubmed"",""30561486"",""create date:2018/12/19 | first author:Kini V"",";;
"Notice of Retraction and Replacement. Snook et al. Change in percentages of adults with overweight or obesity trying to lose weight, 1988-2014. JAMA. 2017;317(9):971-973.,""/pubmed/30561485"",""Snook KR, Hansen AR, Duke CH, Hackney AA, Zhang J."",""JAMA. 2018 Dec 18";"320(23):2485-2486. doi: 10.1001/jama.2018.18136. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561485"",""pubmed"",""30561485"",""create date:2018/12/19 | first author:Snook KR"",";;
"The Labor of Representation.,""/pubmed/30561484"",""Feroe AG."",""JAMA. 2018 Dec 18";"320(23):2423-2424. doi: 10.1001/jama.2018.18006. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561484"",""pubmed"",""30561484"",""create date:2018/12/19 | first author:Feroe AG"",";;
"Hand, Foot, and Mouth Disease.,""/pubmed/30561482"",""Cox B, Levent F."",""JAMA. 2018 Dec 18";"320(23):2492. doi: 10.1001/jama.2018.17288. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561482"",""pubmed"",""30561482"",""create date:2018/12/19 | first author:Cox B"",";;
"Opioids for Chronic Noncancer Pain: A Systematic Review and Meta-analysis.,""/pubmed/30561481"",""Busse JW, Wang L, Kamaleldin M, Craigie S, Riva JJ, Montoya L, Mulla SM, Lopes LC, Vogel N, Chen E, Kirmayr K, De Oliveira K, Olivieri L, Kaushal A, Chaparro LE, Oyberman I, Agarwal A, Couban R, Tsoi L, Lam T, Vandvik PO, Hsu S, et al."",""JAMA. 2018 Dec 18";"320(23):2448-2460. doi: 10.1001/jama.2018.18472."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561481"",""pubmed"",""30561481"",""create date:2018/12/19 | first author:Busse JW"",";;
"Association of Delivery Mode With Pelvic Floor Disorders After Childbirth.,""/pubmed/30561480"",""Blomquist JL, Muñoz A, Carroll M, Handa VL."",""JAMA. 2018 Dec 18";"320(23):2438-2447. doi: 10.1001/jama.2018.18315."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561480"",""pubmed"",""30561480"",""create date:2018/12/19 | first author:Blomquist JL"",";;
"Association of Maternal First-Trimester Ondansetron Use With Cardiac Malformations and Oral Clefts in Offspring.,""/pubmed/30561479"",""Huybrechts KF, Hernández-Díaz S, Straub L, Gray KJ, Zhu Y, Patorno E, Desai RJ, Mogun H, Bateman BT."",""JAMA. 2018 Dec 18";"320(23):2429-2437. doi: 10.1001/jama.2018.18307."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561479"",""pubmed"",""30561479"",""create date:2018/12/19 | first author:Huybrechts KF"",";;
"Cardiovascular Health and Cognitive Decline-Reply.,""/pubmed/30561478"",""Samieri C, Empana JP."",""JAMA. 2018 Dec 18";"320(23):2483-2484. doi: 10.1001/jama.2018.17566. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561478"",""pubmed"",""30561478"",""create date:2018/12/19 | first author:Samieri C"",";;
"Self-harm, Traumatic Brain Injury, and Suicide-Reply.,""/pubmed/30561477"",""Madsen T, Nordentoft M, Benros ME."",""JAMA. 2018 Dec 18";"320(23):2485. doi: 10.1001/jama.2018.17562. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561477"",""pubmed"",""30561477"",""create date:2018/12/19 | first author:Madsen T"",";;
"Controversies About Lyme Disease-Reply.,""/pubmed/30561476"",""Shapiro ED, Wormser GP."",""JAMA. 2018 Dec 18";"320(23):2482-2483. doi: 10.1001/jama.2018.17207. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561476"",""pubmed"",""30561476"",""create date:2018/12/19 | first author:Shapiro ED"",";;
"Self-harm, Traumatic Brain Injury, and Suicide.,""/pubmed/30561475"",""Fleminger S, Fleminger J."",""JAMA. 2018 Dec 18";"320(23):2484-2485. doi: 10.1001/jama.2018.17558. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561475"",""pubmed"",""30561475"",""create date:2018/12/19 | first author:Fleminger S"",";;
"Cardiovascular Health and Cognitive Decline.,""/pubmed/30561474"",""Howland RH."",""JAMA. 2018 Dec 18";"320(23):2483. doi: 10.1001/jama.2018.17554. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561474"",""pubmed"",""30561474"",""create date:2018/12/19 | first author:Howland RH"",";;
"Controversies About Lyme Disease.,""/pubmed/30561473"",""Tuttle C."",""JAMA. 2018 Dec 18";"320(23):2481. doi: 10.1001/jama.2018.17195. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561473"",""pubmed"",""30561473"",""create date:2018/12/19 | first author:Tuttle C"",";;
"Controversies About Lyme Disease.,""/pubmed/30561472"",""Santarella S, Sellati TJ."",""JAMA. 2018 Dec 18";"320(23):2481-2482. doi: 10.1001/jama.2018.17191. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561472"",""pubmed"",""30561472"",""create date:2018/12/19 | first author:Santarella S"",";;
"Prostate Cancer-Specific Mortality Across Gleason Scores in Black vs Nonblack Men.,""/pubmed/30561471"",""Mahal BA, Berman RA, Taplin ME, Huang FW."",""JAMA. 2018 Dec 18";"320(23):2479-2481. doi: 10.1001/jama.2018.11716. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561471"",""pubmed"",""30561471"",""create date:2018/12/19 | first author:Mahal BA"",";;
"The Historical Background of Resort Therapy: Howard W. Haggard, M.D.,""/pubmed/30561470"",""[No authors listed]"",""JAMA. 2018 Dec 18";"320(23):2488. doi: 10.1001/jama.2017.12712. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561470"",""pubmed"",""30561470"",""create date:2018/12/19"",";;
"Accreditation, Quality, and Making Hospital Care Better.,""/pubmed/30561469"",""Jha AK."",""JAMA. 2018 Dec 18";"320(23):2410-2411. doi: 10.1001/jama.2018.18810. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561469"",""pubmed"",""30561469"",""create date:2018/12/19 | first author:Jha AK"",";;
"The Return of OTC Primatene Mist.,""/pubmed/30561467"",""Voelker R."",""JAMA. 2018 Dec 18";"320(23):2413. doi: 10.1001/jama.2018.19619. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561467"",""pubmed"",""30561467"",""create date:2018/12/19 | first author:Voelker R"",";;
"Rapid Ebola Test Uses Micro Reader to Improve Accuracy.,""/pubmed/30561466"",""Voelker R."",""JAMA. 2018 Dec 18";"320(23):2413. doi: 10.1001/jama.2018.19379. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561466"",""pubmed"",""30561466"",""create date:2018/12/19 | first author:Voelker R"",";;
"A First in COPD Treatment.,""/pubmed/30561465"",""Voelker R."",""JAMA. 2018 Dec 18";"320(23):2413. doi: 10.1001/jama.2018.19375. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561465"",""pubmed"",""30561465"",""create date:2018/12/19 | first author:Voelker R"",";;
"Helping Pregnant Women and Clinicians Understand the Risk of Ondansetron for Nausea and Vomiting During Pregnancy.,""/pubmed/30561464"",""Haas DM."",""JAMA. 2018 Dec 18";"320(23):2425-2426. doi: 10.1001/jama.2018.19328. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561464"",""pubmed"",""30561464"",""create date:2018/12/19 | first author:Haas DM"",";;
"Increasing Evidence for the Limited Role of Opioids to Treat Chronic Noncancer Pain.,""/pubmed/30561463"",""Ashburn MA, Fleisher LA."",""JAMA. 2018 Dec 18";"320(23):2427-2428. doi: 10.1001/jama.2018.19327. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561463"",""pubmed"",""30561463"",""create date:2018/12/19 | first author:Ashburn MA"",";;
"Errors in Figure.,""/pubmed/30561462"",""[No authors listed]"",""JAMA. 2018 Dec 18";"320(23):2486. doi: 10.1001/jama.2018.19142. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30561462"",""pubmed"",""30561462"",""create date:2018/12/19"",";;
"Management of Posttraumatic Stress Disorder.,""/pubmed/30556838"",""Ostacher MJ, Cifu AS."",""JAMA. 2018 Dec 17. doi: 10.1001/jama.2018.19290. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30556838"",""pubmed"",""30556838"",""create date:2018/12/18 | first author:Ostacher MJ"",";;;
"Challenges of Non-Intention-to-Treat Analyses.,""/pubmed/30556836"",""DeMets DL, Cook T."",""JAMA. 2018 Dec 17. doi: 10.1001/jama.2018.19192. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30556836"",""pubmed"",""30556836"",""create date:2018/12/18 | first author:DeMets DL"",";;;
"A Patient With an Elevated α-Fetoprotein Level and Liver Masses.,""/pubmed/30543371"",""Mikolajczyk AE, Yassan LJ, Pillai AA."",""JAMA. 2018 Dec 13. doi: 10.1001/jama.2018.18435. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30543371"",""pubmed"",""30543371"",""create date:2018/12/14 | first author:Mikolajczyk AE"",";;;
"Black Lung Resurgence Raises New Challenges for Coal Country Physicians.,""/pubmed/30540357"",""Voelker R."",""JAMA. 2018 Dec 12. doi: 10.1001/jama.2018.15966. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30540357"",""pubmed"",""30540357"",""create date:2018/12/13 | first author:Voelker R"",";;;
"For Nobel Peace Prize Winner Dr Denis Mukwege, His Patients Motivate and Inspire.,""/pubmed/30540345"",""Rubin R."",""JAMA. 2018 Dec 12. doi: 10.1001/jama.2018.18199. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30540345"",""pubmed"",""30540345"",""create date:2018/12/13 | first author:Rubin R"",";;;
"Humanizing Artificial Intelligence.,""/pubmed/30535297"",""Israni ST, Verghese A."",""JAMA. 2018 Dec 10. doi: 10.1001/jama.2018.19398. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30535297"",""pubmed"",""30535297"",""create date:2018/12/12 | first author:Israni ST"",";;;
