Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;
"Comparison of Undifferentiated Versus Chondrogenic Predifferentiated Mesenchymal Stem Cells Derived From Human Umbilical Cord Blood for Cartilage Repair in a Rat Model.,""/pubmed/30640523"",""Park YB, Ha CW, Kim JA, Kim S, Park YG."",""Am J Sports Med. 2019 Jan 14:363546518815151. doi: 10.1177/0363546518815151. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30640523"",""pubmed"",""30640523"",""create date:2019/01/15 | first author:Park YB"",";;
"Anatomic Features of the Tibial Plateau Predict Outcomes of ACL Reconstruction Within 7 Years After Surgery.,""/pubmed/30640519"",""Kiapour AM, Yang DS, Badger GJ, Karamchedu NP, Murray MM, Fadale PD, Hulstyn MJ, Shalvoy RM, Fleming BC."",""Am J Sports Med. 2019 Jan 14:363546518823556. doi: 10.1177/0363546518823556. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30640519"",""pubmed"",""30640519"",""create date:2019/01/15 | first author:Kiapour AM"",";;
"Tibial Slope and Its Effect on Force in Anterior Cruciate Ligament Grafts: Anterior Cruciate Ligament Force Increases Linearly as Posterior Tibial Slope Increases.,""/pubmed/30640515"",""Bernhardson AS, Aman ZS, Dornan GJ, Kemler BR, Storaci HW, Brady AW, Nakama GY, LaPrade RF."",""Am J Sports Med. 2019 Jan 14:363546518820302. doi: 10.1177/0363546518820302. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30640515"",""pubmed"",""30640515"",""create date:2019/01/15 | first author:Bernhardson AS"",";;
"Posterior Tibial Slope and Risk of Posterior Cruciate Ligament Injury.,""/pubmed/30640507"",""Bernhardson AS, DePhillipo NN, Daney BT, Kennedy MI, Aman ZS, LaPrade RF."",""Am J Sports Med. 2019 Jan 14:363546518819176. doi: 10.1177/0363546518819176. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30640507"",""pubmed"",""30640507"",""create date:2019/01/15 | first author:Bernhardson AS"",";;
"Short-term Changes After Corticosteroid Injections Into the Normal Tendons of Rabbits: A Controlled Randomized Study.,""/pubmed/30640506"",""Dinhane KGI, Godoy-Santos AL, Fabro AT, Moretto MR, Deprá I, Yoshida WB."",""Am J Sports Med. 2019 Jan 14:363546518818819. doi: 10.1177/0363546518818819. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30640506"",""pubmed"",""30640506"",""create date:2019/01/15 | first author:Dinhane KGI"",";;
"Effects of Estrogen-Deficient State on Rotator Cuff Healing.,""/pubmed/30625277"",""Tanaka K, Kanazawa T, Gotoh M, Tanesue R, Nakamura H, Ohzono H, Okawa T, Shiba N."",""Am J Sports Med. 2019 Jan 9:363546518815869. doi: 10.1177/0363546518815869. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30625277"",""pubmed"",""30625277"",""create date:2019/01/10 | first author:Tanaka K"",";;
"Osteochondral Autograft Transplantation Technique Augmented by an Ultrapurified Alginate Gel Enhances Osteochondral Repair in a Rabbit Model.,""/pubmed/30624979"",""Hishimura R, Onodera T, Hontani K, Baba R, Homan K, Matsubara S, Joutoku Z, Kim W, Nonoyama T, Kurokawa T, Gong JP, Iwasaki N."",""Am J Sports Med. 2019 Jan 9:363546518817527. doi: 10.1177/0363546518817527. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30624979"",""pubmed"",""30624979"",""create date:2019/01/10 | first author:Hishimura R"",";;
"Biomechanical Comparison of 3 Novel Repair Techniques for Radial Tears of the Medial Meniscus: The 2-Tunnel Transtibial Technique, a ""Hybrid"" Horizontal and Vertical Mattress Suture Configuration, and a Combined ""Hybrid Tunnel"" Technique.,""/pubmed/30624953"",""Buckley PS, Kemler BR, Robbins CM, Aman ZS, Storaci HW, Dornan GJ, LaPrade RF."",""Am J Sports Med. 2019 Jan 9:363546518816949. doi: 10.1177/0363546518816949. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30624953"",""pubmed"",""30624953"",""create date:2019/01/10 | first author:Buckley PS"",";;
"Responsiveness and Minimal Important Change of the IKDC of Middle-Aged and Older Patients With a Meniscal Tear.,""/pubmed/30608864"",""Noorduyn JCA, van de Graaf VA, Mokkink LB, Willigenburg NW, Poolman RW";" ESCAPE Research Group., Scholtes VAB, Butter I, Mutsaerts ELAR, Wolkenfelt J, Krijnen MR, van Deurzen DFP, Moojen DJF, Bloembergen CH, Nijland OJF, de Gast A, Snijders T, Halma JJ, Saris DBF, Wolterbeek N, Neeter C, Kerkhoffs GMMJ, et al."",""Am J Sports Med. 2019 Jan 4:363546518812880. doi: 10.1177/0363546518812880. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30608864"",""pubmed"",""30608864"",""create date:2019/01/05 | first author:Noorduyn JCA"",";
"Professional Athletes Are Not at a Higher Risk of Infections After Anterior Cruciate Ligament Reconstruction: Incidence of Septic Arthritis, Additional Costs, and Clinical Outcomes From the French Prospective Anterior Cruciate Ligament Study (FAST) Cohort.,""/pubmed/30481480"",""Bohu Y, Klouche S, Herman S, de Pamphilis O, Gerometta A, Lefevre N."",""Am J Sports Med. 2019 Jan";"47(1):104-111. doi: 10.1177/0363546518810527. Epub 2018 Nov 27."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30481480"",""pubmed"",""30481480"",""create date:2018/11/28 | first author:Bohu Y"",";
"Physiotherapist-delivered stress inoculation training integrated with exercise versus physiotherapy exercise alone for acute whiplash-associated disorder (StressModex): a randomised controlled trial of a combined psychological/physical intervention.,""/pubmed/30661011"",""Sterling M, Smeets R, Keijzers G, Warren J, Kenardy J."",""Br J Sports Med. 2019 Jan 19. pii: bjsports-2018-100139. doi: 10.1136/bjsports-2018-100139. [Epub ahead of print]"",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30661011"",""pubmed"",""30661011"",""create date:2019/01/21 | first author:Sterling M"",";;
"Epidemiology of time-loss injuries in international fencing: a prospective, 5-year analysis of Fédération Internationale d'Escrime competitions.,""/pubmed/30661010"",""Harmer PA."",""Br J Sports Med. 2019 Jan 19. pii: bjsports-2018-100002. doi: 10.1136/bjsports-2018-100002. [Epub ahead of print]"",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30661010"",""pubmed"",""30661010"",""create date:2019/01/21 | first author:Harmer PA"",";;
"Subacromial decompression surgery for adults with shoulder pain: a systematic review with meta-analysis.,""/pubmed/30647053"",""Lähdeoja T, Karjalainen T, Jokihaara J, Salamh P, Kavaja L, Agarwal A, Winters M, Buchbinder R, Guyatt G, Vandvik PO, Ardern CL."",""Br J Sports Med. 2019 Jan 15. pii: bjsports-2018-100486. doi: 10.1136/bjsports-2018-100486. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30647053"",""pubmed"",""30647053"",""create date:2019/01/17 | first author:Lähdeoja T"",";;
"Efficacy of heavy eccentric calf training for treating mid-portion Achilles tendinopathy: a systematic review and meta-analysis.,""/pubmed/30636702"",""Murphy MC, Travers MJ, Chivers P, Debenham JR, Docking SI, Rio EK, Gibson W."",""Br J Sports Med. 2019 Jan 13. pii: bjsports-2018-099934. doi: 10.1136/bjsports-2018-099934. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30636702"",""pubmed"",""30636702"",""create date:2019/01/15 | first author:Murphy MC"",";;
"Self-efficacy and risk of persistent shoulder pain: results of a Classification and Regression Tree (CART) analysis.,""/pubmed/30626599"",""Chester R, Khondoker M, Shepstone L, Lewis JS, Jerosch-Herold C."",""Br J Sports Med. 2019 Jan 9. pii: bjsports-2018-099450. doi: 10.1136/bjsports-2018-099450. [Epub ahead of print]"",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30626599"",""pubmed"",""30626599"",""create date:2019/01/11 | first author:Chester R"",";;
"Effectiveness of a school-based physical activity intervention on adiposity, fitness and blood pressure: MOVI-KIDS study.,""/pubmed/30626597"",""Martínez-Vizcaíno V, Pozuelo-Carrascosa DP, García-Prieto JC, Cavero-Redondo I, Solera-Martínez M, Garrido-Miguel M, Díez-Fernández A, Ruiz-Hermosa A, Sánchez-López M."",""Br J Sports Med. 2019 Jan 9. pii: bjsports-2018-099655. doi: 10.1136/bjsports-2018-099655. [Epub ahead of print]"",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30626597"",""pubmed"",""30626597"",""create date:2019/01/11 | first author:Martínez-Vizcaíno V"",";;
"New IOC Certificate in Drugs in Sport supports healthcare professionals to lead on effective clinical drug use and doping prevention in athletes.,""/pubmed/30504487"",""Stuart M, Mottram D."",""Br J Sports Med. 2019 Jan";"53(1):48-49. doi: 10.1136/bjsports-2018-100178. Epub 2018 Dec 1. No abstract available. "",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30504487"",""pubmed"",""30504487"",""create date:2018/12/07 | first author:Stuart M"",";
"Time-to-event analysis for sports injury research part 2: time-varying outcomes.,""/pubmed/30413427"",""Nielsen RO, Bertelsen ML, Ramskov D, Møller M, Hulme A, Theisen D, Finch CF, Fortington LV, Mansournia MA, Parner ET."",""Br J Sports Med. 2019 Jan";"53(1):70-78. doi: 10.1136/bjsports-2018-100000. Epub 2018 Nov 9."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30413427 | PMCID:PMC6317441"",""pubmed"",""30413427"",""create date:2018/11/11 | first author:Nielsen RO"",";
"Time-to-event analysis for sports injury research part 1: time-varying exposures.,""/pubmed/30413422"",""Nielsen RO, Bertelsen ML, Ramskov D, Møller M, Hulme A, Theisen D, Finch CF, Fortington LV, Mansournia MA, Parner ET."",""Br J Sports Med. 2019 Jan";"53(1):61-68. doi: 10.1136/bjsports-2018-099408. Epub 2018 Nov 9."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30413422 | PMCID:PMC6317442"",""pubmed"",""30413422"",""create date:2018/11/11 | first author:Nielsen RO"",";
"Impact of prenatal exercise on maternal harms, labour and delivery outcomes: a systematic review and meta-analysis.,""/pubmed/30337349"",""Davenport MH, Ruchat SM, Sobierajski F, Poitras VJ, Gray CE, Yoo C, Skow RJ, Jaramillo Garcia A, Barrowman N, Meah VL, Nagpal TS, Riske L, James M, Nuspl M, Weeks A, Marchand AA, Slater LG, Adamo KB, Davies GA, Barakat R, Mottola MF."",""Br J Sports Med. 2019 Jan";"53(2):99-107. doi: 10.1136/bjsports-2018-099821. Epub 2018 Oct 18."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30337349"",""pubmed"",""30337349"",""create date:2018/10/20 | first author:Davenport MH"",";
"Is supine exercise associated with adverse maternal and fetal outcomes? A systematic review.,""/pubmed/30337348"",""Mottola MF, Nagpal TS, Bgeginski R, Davenport MH, Poitras VJ, Gray CE, Davies GA, Adamo KB, Slater LG, Barrowman N, Barakat R, Ruchat SM."",""Br J Sports Med. 2019 Jan";"53(2):82-89. doi: 10.1136/bjsports-2018-099919. Epub 2018 Oct 18."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30337348"",""pubmed"",""30337348"",""create date:2018/10/20 | first author:Mottola MF"",";
"Effects of prenatal exercise on incidence of congenital anomalies and hyperthermia: a systematic review and meta-analysis.,""/pubmed/30337347"",""Davenport MH, Yoo C, Mottola MF, Poitras VJ, Jaramillo Garcia A, Gray CE, Barrowman N, Davies GA, Kathol A, Skow RJ, Meah VL, Riske L, Sobierajski F, James M, Nagpal TS, Marchand AA, Slater LG, Adamo KB, Barakat R, Ruchat SM."",""Br J Sports Med. 2019 Jan";"53(2):116-123. doi: 10.1136/bjsports-2018-099653. Epub 2018 Oct 18."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30337347"",""pubmed"",""30337347"",""create date:2018/10/20 | first author:Davenport MH"",";
"Prenatal exercise is not associated with fetal mortality: a systematic review and meta-analysis.,""/pubmed/30337346"",""Davenport MH, Kathol AJ, Mottola MF, Skow RJ, Meah VL, Poitras VJ, Jaramillo Garcia A, Gray CE, Barrowman N, Riske L, Sobierajski F, James M, Nagpal T, Marchand AA, Slater LG, Adamo KB, Davies GA, Barakat R, Ruchat SM."",""Br J Sports Med. 2019 Jan";"53(2):108-115. doi: 10.1136/bjsports-2018-099773. Epub 2018 Oct 18."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30337346"",""pubmed"",""30337346"",""create date:2018/10/20 | first author:Davenport MH"",";
"Effects of prenatal exercise on fetal heart rate, umbilical and uterine blood flow: a systematic review and meta-analysis.,""/pubmed/30337345"",""Skow RJ, Davenport MH, Mottola MF, Davies GA, Poitras VJ, Gray CE, Jaramillo Garcia A, Barrowman N, Meah VL, Slater LG, Adamo KB, Barakat R, Ruchat SM."",""Br J Sports Med. 2019 Jan";"53(2):124-133. doi: 10.1136/bjsports-2018-099822. Epub 2018 Oct 18."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30337345"",""pubmed"",""30337345"",""create date:2018/10/20 | first author:Skow RJ"",";
"Exercise for the prevention and treatment of low back, pelvic girdle and lumbopelvic pain during pregnancy: a systematic review and meta-analysis.,""/pubmed/30337344"",""Davenport MH, Marchand AA, Mottola MF, Poitras VJ, Gray CE, Jaramillo Garcia A, Barrowman N, Sobierajski F, James M, Meah VL, Skow RJ, Riske L, Nuspl M, Nagpal TS, Courbalay A, Slater LG, Adamo KB, Davies GA, Barakat R, Ruchat SM."",""Br J Sports Med. 2019 Jan";"53(2):90-98. doi: 10.1136/bjsports-2018-099400. Epub 2018 Oct 18."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30337344"",""pubmed"",""30337344"",""create date:2018/10/20 | first author:Davenport MH"",";
"Analysis of water polo injuries during 8904 player matches at FINA World Championships and Olympic games to make the sport safer.,""/pubmed/30194222"",""Mountjoy M, Miller J, Junge A."",""Br J Sports Med. 2019 Jan";"53(1):25-31. doi: 10.1136/bjsports-2018-099349. Epub 2018 Sep 7."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30194222"",""pubmed"",""30194222"",""create date:2018/09/09 | first author:Mountjoy M"",";
"What are the risk factors for injuries and injury prevention strategies for skiers and snowboarders in terrain parks and half-pipes? A systematic review.,""/pubmed/30072399"",""Audet O, Hagel BE, Nettel-Aguirre A, Mitra T, Emery CA, Macpherson A, Lavoie MD, Goulet C."",""Br J Sports Med. 2019 Jan";"53(1):19-24. doi: 10.1136/bjsports-2018-099166. Epub 2018 Aug 2."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30072399"",""pubmed"",""30072399"",""create date:2018/08/04 | first author:Audet O"",";
"Aspirin for primary prevention of cardiovascular outcomes in diabetes mellitus: An updated systematic review and meta-analysis.,""/pubmed/30700151"",""Khan SU, Ul Abideen Asad Z, Khan MU, Talluri S, Ali F, Shahzeb Khan M, Lone AN, Mookadam F, Krasuski RA, Kaluski E."",""Eur J Prev Cardiol. 2019 Jan 30:2047487319825510. doi: 10.1177/2047487319825510. [Epub ahead of print]"",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:30700151"",""pubmed"",""30700151"",""create date:2019/02/01 | first author:Khan SU"",";;
"The African Prospective study on the Early Detection and Identification of Cardiovascular disease and Hypertension (African-PREDICT): Design, recruitment and initial examination.,""/pubmed/30681377"",""Schutte AE, Gona PN, Delles C, Uys AS, Burger A, Mels CM, Kruger R, Smith W, Fourie CM, Botha S, Lammertyn L, van Rooyen JM, Gafane-Matemane LF, Mokwatsi GG, Breet Y, Kruger HS, Zyl TV, Pieters M, Zandberg L, Louw R, Moss SJ, Khumalo IP, et al."",""Eur J Prev Cardiol. 2019 Jan 6:2047487318822354. doi: 10.1177/2047487318822354. [Epub ahead of print]"",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:30681377"",""pubmed"",""30681377"",""create date:2019/01/27 | first author:Schutte AE"",";;
"Coronary heart disease mortality trends during 50 years as explained by risk factor changes: The European cohorts of the Seven Countries Study.,""/pubmed/30614262"",""Menotti A, Puddu PE, Kromhout D, Kafatos A, Tolonen H."",""Eur J Prev Cardiol. 2019 Jan 6:2047487318821250. doi: 10.1177/2047487318821250. [Epub ahead of print]"",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:30614262"",""pubmed"",""30614262"",""create date:2019/01/08 | first author:Menotti A"",";;
"Assessment of oxygen-uptake efficiency slope in healthy children and children with heart disease: Generation of appropriate reference values for the OUES variable.,""/pubmed/30354736"",""Hossri CA, Souza IPA, de Oliveira JS, Mastrocola LE."",""Eur J Prev Cardiol. 2019 Jan";"26(2):177-184. doi: 10.1177/2047487318807977. Epub 2018 Oct 24."",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:30354736"",""pubmed"",""30354736"",""create date:2018/10/26 | first author:Hossri CA"",";
"Dietary outcomes within the study of novel approaches to weight gain prevention (SNAP) randomized controlled trial.,""/pubmed/30704533"",""LaRose JG, Neiberg RH, Evans EW, Tate DF, Espeland MA, Gorin AA, Perdue L, Hatley K, Lewis CE, Robichaud E, Wing RR";" Study of Novel Approaches to Weight Gain Prevention (SNAP) Research Group.."",""Int J Behav Nutr Phys Act. 2019 Jan 31";"16(1):14. doi: 10.1186/s12966-019-0771-z."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:30704533 | PMCID:PMC6357348"",""pubmed"",""30704533"",""create date:2019/02/02 | first author:LaRose JG"","
"Assessing the impact of the Barbados sugar-sweetened beverage tax on beverage sales: an observational study.,""/pubmed/30700311"",""Alvarado M, Unwin N, Sharp SJ, Hambleton I, Murphy MM, Samuels TA, Suhrcke M, Adams J."",""Int J Behav Nutr Phys Act. 2019 Jan 30";"16(1):13. doi: 10.1186/s12966-019-0776-7."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:30700311 | PMCID:PMC6354371"",""pubmed"",""30700311"",""create date:2019/02/01 | first author:Alvarado M"",";
"Measuring change in trials of physical activity interventions: a comparison of self-report questionnaire and accelerometry within the PACE-UP trial.,""/pubmed/30670036"",""Limb ES, Ahmad S, Cook DG, Kerry SM, Ekelund U, Whincup PH, Victor CR, Iliffe S, Ussher M, Fox-Rushby J, Furness C, Ibison J, DeWilde S, Harris T."",""Int J Behav Nutr Phys Act. 2019 Jan 22";"16(1):10. doi: 10.1186/s12966-018-0762-5."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:30670036 | PMCID:PMC6341662"",""pubmed"",""30670036"",""create date:2019/01/24 | first author:Limb ES"",";
"Title: efficacy of a food parenting intervention for mothers with low income to reduce preschooler's solid fat and added sugar intakes: a randomized controlled trial.,""/pubmed/30654818"",""Fisher JO, Serrano EL, Foster GD, Hart CN, Davey A, Bruton YP, Kilby L, Harnack L, Ruth KJ, Kachurak A, Lawman HG, Martin A, Polonsky HM."",""Int J Behav Nutr Phys Act. 2019 Jan 17";"16(1):6. doi: 10.1186/s12966-018-0764-3."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:30654818 | PMCID:PMC6335764"",""pubmed"",""30654818"",""create date:2019/01/19 | first author:Fisher JO"",";
"Walking cadence (steps/min) and intensity in 21-40 year olds: CADENCE-adults.,""/pubmed/30654810"",""Tudor-Locke C, Aguiar EJ, Han H, Ducharme SW, Schuna JM Jr, Barreira TV, Moore CC, Busa MA, Lim J, Sirard JR, Chipkin SR, Staudenmayer J."",""Int J Behav Nutr Phys Act. 2019 Jan 17";"16(1):8. doi: 10.1186/s12966-019-0769-6."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:30654810 | PMCID:PMC6337834"",""pubmed"",""30654810"",""create date:2019/01/19 | first author:Tudor-Locke C"",";
"A systematic review of factors that influence food store owner and manager decision making and ability or willingness to use choice architecture and marketing mix strategies to encourage healthy consumer purchases in the United States, 2005-2017.,""/pubmed/30642352"",""Houghtaling B, Serrano EL, Kraak VI, Harden SM, Davis GC, Misyak SA."",""Int J Behav Nutr Phys Act. 2019 Jan 14";"16(1):5. doi: 10.1186/s12966-019-0767-8. Review."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:30642352 | PMCID:PMC6332888"",""pubmed"",""30642352"",""create date:2019/01/16 | first author:Houghtaling B"",";
"Preconception lifestyle intervention reduces long term energy intake in women with obesity and infertility: a randomised controlled trial.,""/pubmed/30621789"",""van Elten TM, Karsten MDA, Geelen A, Gemke RJBJ, Groen H, Hoek A, van Poppel MNM, Roseboom TJ."",""Int J Behav Nutr Phys Act. 2019 Jan 8";"16(1):3. doi: 10.1186/s12966-018-0761-6."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:30621789 | PMCID:PMC6325811"",""pubmed"",""30621789"",""create date:2019/01/10 | first author:van Elten TM"",";
"Evaluation of an eHealth intervention aiming to promote healthy food habits from infancy -the Norwegian randomized controlled trial Early Food for Future Health.,""/pubmed/30606197"",""Helle C, Hillesund ER, Wills AK, Øverby NC."",""Int J Behav Nutr Phys Act. 2019 Jan 3";"16(1):1. doi: 10.1186/s12966-018-0763-4."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:30606197 | PMCID:PMC6318886"",""pubmed"",""30606197"",""create date:2019/01/05 | first author:Helle C"",";
"A combined physical activity and fall prevention intervention improved mobility-related goal attainment but not physical activity in older adults: a randomised trial.,""/pubmed/30581138"",""Oliveira JS, Sherrington C, Paul SS, Ramsay E, Chamberlain K, Kirkham C, O'Rourke SD, Hassett L, Tiedemann A."",""J Physiother. 2019 Jan";"65(1):16-22. doi: 10.1016/j.jphys.2018.11.005. Epub 2018 Dec 21."",""J Physiother.  2019"",""PubMed"",""citation"",""PMID:30581138"",""pubmed"",""30581138"",""create date:2018/12/26 | first author:Oliveira JS"",";
